t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,solve_time_ms
0.112,HOVER,0.001195,-0.000702,0.000058,0.0,0.0,0.0,0.029964,-0.116351,0.001988,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499944,0.0
0.211,HOVER,0.005768,-0.002345,-0.000144,0.0,0.0,0.0,0.083039,-0.711053,0.003132,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500183,0.0
0.311,HOVER,0.006231,-0.002346,0.000066,0.0,0.0,0.0,-0.340752,0.309689,0.006742,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499978,0.0
0.412,HOVER,0.001115,-0.001349,0.000075,0.0,0.0,0.0,-0.612424,1.219302,0.012979,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499928,0.0
0.512,HOVER,0.000915,-0.000672,-0.000032,0.0,0.0,0.0,-0.708729,1.196020,0.018935,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500033,0.0
0.608,HOVER,0.007544,-0.004893,0.000007,0.0,0.0,0.0,-0.439372,0.713392,0.015313,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500074,0.0
0.707,HOVER,0.008359,-0.004058,0.000356,0.0,0.0,0.0,-0.596009,0.876684,0.021218,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499731,0.0
0.805,HOVER,0.006210,-0.003621,0.000186,0.0,0.0,0.0,-0.644441,1.105679,0.021826,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499866,0.0
0.906,HOVER,0.006782,-0.003584,0.000021,0.0,0.0,0.0,-0.646273,1.120593,0.023861,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500038,0.0
1.011,HOVER,0.006815,-0.002780,-0.000032,0.0,0.0,0.0,-0.688028,1.154745,0.029128,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500086,0.0
1.112,HOVER,0.007506,-0.003548,-0.000076,0.0,0.0,0.0,-0.642917,1.137477,0.030887,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500145,0.0
1.210,HOVER,0.007633,-0.003901,-0.000071,0.0,0.0,0.0,-0.630913,1.149218,0.035961,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500144,0.0
1.311,HOVER,0.005432,-0.000971,0.000084,0.0,0.0,0.0,-0.703755,1.238553,0.038126,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499946,0.0
1.407,HOVER,0.005252,-0.001504,0.000101,0.0,0.0,0.0,-0.628460,1.216451,0.037340,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499929,0.0
1.508,HOVER,0.006154,-0.000823,0.000200,0.0,0.0,0.0,-0.640219,1.161178,0.040126,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499839,0.0
1.610,HOVER,0.006585,0.000501,0.000112,0.0,0.0,0.0,-0.687582,1.135494,0.044812,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499931,0.0
1.711,HOVER,0.005315,0.000905,0.000113,0.0,0.0,0.0,-0.688859,1.186330,0.042732,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499916,0.0
1.812,HOVER,0.004723,-0.002031,0.000135,0.0,0.0,0.0,-0.592936,1.201277,0.037841,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499892,0.0
1.912,HOVER,0.013258,-0.004500,0.000136,0.0,0.0,0.0,-0.553098,0.895753,0.034105,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500060,0.0
2.010,HOVER,0.009966,-0.001168,0.000132,0.0,0.0,0.0,-0.751170,1.153471,0.040925,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499969,0.0
2.111,HOVER,0.007711,0.000593,0.000092,0.0,0.0,0.0,-0.765213,1.219497,0.043608,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499967,0.0
2.211,HOVER,0.001331,0.004919,-0.000076,0.0,0.0,0.0,-0.899170,1.419408,0.044621,0.000,0.000,0.500,0.0,0.0,0.0,0.0,37979,41446,43179,40197,0.500102,0.0
2.304,HOVER,0.008350,0.003353,0.000431,0.0,0.0,0.0,-0.624719,0.881510,-0.195087,0.000,0.000,0.500,0.0,0.0,0.0,0.0,39070,42481,41891,42060,0.499650,0.0
2.404,HOVER,0.012745,-0.000410,0.000695,0.0,0.0,0.0,-0.335035,0.683402,-1.371833,0.000,0.000,0.500,0.0,0.0,0.0,0.0,38295,45285,43670,43660,0.499467,0.0
2.512,HOVER,0.013372,-0.002380,0.000896,0.0,0.0,0.0,-0.039684,1.098158,-2.390152,0.000,0.000,0.500,0.0,0.0,0.0,0.0,42252,45863,40588,42058,0.499289,0.0
2.606,HOVER,0.012708,0.001354,0.001450,0.0,0.0,0.0,0.716309,1.632496,-2.102455,0.000,0.000,0.500,0.0,0.0,0.0,0.0,39418,45216,47947,44011,0.498714,0.0
2.705,HOVER,0.018024,0.003797,0.001778,0.0,0.0,0.0,-0.670426,0.104297,-1.818811,0.000,0.000,0.500,0.0,0.0,0.0,0.0,45311,50813,40246,38225,0.498563,0.0
2.805,HOVER,0.020349,0.008704,0.003984,0.0,0.0,0.0,0.353671,-0.453483,-1.763114,0.000,0.000,0.500,0.0,0.0,0.0,0.0,37619,44012,50422,47813,0.496509,0.0
2.909,HOVER,0.023073,0.000709,0.009171,0.0,0.0,0.0,1.279865,0.584749,-1.373143,0.000,0.000,0.500,0.0,0.0,0.0,0.0,43530,47996,44923,42868,0.491372,0.0
3.010,HOVER,0.020398,0.001791,0.031201,0.0,0.0,0.0,-0.264207,0.108217,-1.416344,0.000,0.000,0.500,0.0,0.0,0.0,0.0,39055,47768,47158,43521,0.469246,0.0
3.110,HOVER,0.021601,0.001386,0.057380,0.0,0.0,0.0,-0.207268,-0.077420,-1.949819,0.000,0.000,0.500,0.0,0.0,0.0,0.0,41842,43914,42304,46082,0.443149,0.0
3.209,HOVER,0.016829,-0.003969,0.071746,0.0,0.0,0.0,0.027563,-0.165273,-2.022779,0.000,0.000,0.500,0.0,0.0,0.0,0.0,43073,47168,46162,46533,0.428603,0.0
3.310,HOVER,0.014525,-0.007476,0.087833,0.0,0.0,0.0,-0.473886,-0.233674,-1.902118,0.000,0.000,0.500,0.0,0.0,0.0,0.0,44145,47628,46002,45859,0.412490,0.0
3.408,HOVER,0.010136,-0.009917,0.098361,0.0,0.0,0.0,-0.236042,-0.756260,-1.658085,0.000,0.000,0.500,0.0,0.0,0.0,0.0,45281,49492,47691,47288,0.401889,0.0
3.509,HOVER,0.009061,-0.013036,0.102290,0.0,0.0,0.0,-0.393827,-1.014992,-1.597855,0.000,0.000,0.500,0.0,0.0,0.0,0.0,45770,50544,48374,47347,0.398027,0.0
3.609,HOVER,0.008848,-0.014871,0.113539,0.0,0.0,0.0,-0.280056,-0.336588,-1.596650,0.000,0.000,0.500,0.0,0.0,0.0,0.0,45231,50395,49928,48981,0.386849,0.0
3.710,HOVER,0.009414,-0.018615,0.129076,0.0,0.0,0.0,-0.241141,-0.148116,-1.665344,0.000,0.000,0.500,0.0,0.0,0.0,0.0,45307,50249,48004,47740,0.371510,0.0
3.810,HOVER,0.011743,-0.022786,0.147418,0.0,0.0,0.0,-0.380328,-0.001719,-1.822671,0.000,0.000,0.500,0.0,0.0,0.0,0.0,45321,50088,48673,48867,0.353513,0.0
3.905,HOVER,0.015231,-0.022488,0.169337,0.0,0.0,0.0,-0.567519,0.003005,-1.885229,0.000,0.000,0.500,0.0,0.0,0.0,0.0,44990,49963,47592,47376,0.331776,0.0
